,keyword_integer,keyword_boolean,keyword_if,keyword_then,keyword_else,keyword_not,keyword_and,keyword_or,keyword_function,keyword_print,identifier,integer,boolean,left_paren,right_paren,comma,colon,plus,minus,times,divide,less_than,equal,end_of_file
program,,,,,,,,,definition_list,,,,,,,,,,,,,,,definition_list
definition_list,,,,,,,,,definition definition_list,,,,,,,,,,,,,,,None
definition,,,,,,,,,keyword_function identifier left_paren parameter_list right_paren colon type body,,,,,,,,,,,,,,,
parameter_list,,,,,,,,,,,formal_parameters,,,,None,,,,,,,,,
formal_parameters,,,,,,,,,,,id_with_type formal_parameters_rest,,,,,,,,,,,,,
formal_parameters_rest,,,,,,,,,,,,,,,None,comma formal_parameters,,,,,,,,
id_with_type,,,,,,,,,,,identifier colon type,,,,,,,,,,,,,
type,keyword_integer,keyword_boolean,,,,,,,,,,,,,,,,,,,,,,
body,,,expression,,,expression,,,,print_expression body,expression,expression,expression,expression,,,,,expression,,,,,
print_expression,,,,,,,,,,keyword_print left_paren expression right_paren,,,,,,,,,,,,,,
expression,,,simple_expression expression_rest,,,simple_expression expression_rest,,,,,simple_expression expression_rest,simple_expression expression_rest,simple_expression expression_rest,simple_expression expression_rest,,,,,simple_expression expression_rest,,,,,
expression_rest,,,,None,None,,,,None,,,,,,None,None,,,,,,less_than expression,equal expression,None
simple_expression,,,term simple_expression_rest,,,term simple_expression_rest,,,,,term simple_expression_rest,term simple_expression_rest,term simple_expression_rest,term simple_expression_rest,,,,,term simple_expression_rest,,,,,
simple_expression_rest,,,,None,None,,,keyword_or simple_expression,None,,,,,,None,None,,plus simple_expression,minus simple_expression,,,None,None,None
term,,,factor term_rest,,,factor term_rest,,,,,factor term_rest,factor term_rest,factor term_rest,factor term_rest,,,,,factor term_rest,,,,,
term_rest,,,,None,None,,keyword_and term,None,None,,,,,,None,None,,None,None,times term,divide term,None,None,None
factor,,,keyword_if expression keyword_then expression keyword_else expression,,,keyword_not factor,,,,,identifier factor_rest,literal,literal,left_paren expression right_paren,,,,,minus factor,,,,,
factor_rest,,,,None,None,,None,None,None,,,,,left_paren argument_list right_paren,None,None,,None,None,None,None,None,None,None
argument_list,,,formal_arguments,,,formal_arguments,,,,,formal_arguments,formal_arguments,formal_arguments,formal_arguments,None,,,,formal_arguments,,,,,
formal_arguments,,,expression formal_arguments_rest,,,expression formal_arguments_rest,,,,,expression formal_arguments_rest,expression formal_arguments_rest,expression formal_arguments_rest,expression formal_arguments_rest,,,,,expression formal_arguments_rest,,,,,
formal_arguments_rest,,,,,,,,,,,,,,,None,comma formal_arguments,,,,,,,,
literal,,,,,,,,,,,,integer,boolean,,,,,,,,,,,
